"","ID","nruns","convergence","input.parm","hessian","mins"
"1",100,5,0,-2.21917760791692,5120842.80736388,10.9485332647959
"2",101,5,0,-2.27943975847673,426028.726905756,12.9735180576642
"3",102,5,0,-2.210213905359,6711772.34934744,19.1236117482185
"4",103,5,0,-2.30526639443094,-48231.4224750873,12.4035296758016
"5",104,5,0,-2.09258729381578,11358647.9307498,12.8777088284492
"6",105,5,0,-2.0969164704907,4548814.66059395,16.6817142883937
"7",106,5,0,-2.2723431239905,5469605.69535526,13.3850922306379
"8",107,5,0,-2.21836126879251,9053797.15331741,11.6652153849602
"9",108,5,0,-2.36839817120789,4603870.18876623,13.3673842469851
"10",109,5,0,-2.26891779568058,4315352.85012141,14.2916962504387
"11",110,5,0,-2.21343835548265,4689049.0594974,14.1796764731407
"12",111,5,0,-2.22783921560907,5267866.98148637,12.0051702896754
"13",112,5,0,-2.02363512382196,3105767.56343075,9.99264501730601
"14",113,5,0,-2.21836126879251,1819299.4180875,11.9934272408485
"15",114,5,0,-2.17320075383385,3522280.47942053,10.0330862840017
"16",115,5,0,-2.15729709253569,6037111.3192241,13.3311174829801
"17",116,5,0,-2.09987853874197,6899670.7176424,11.1994908332825
"18",117,5,0,-2.04390289376434,8708904.95877328,15.4438670396805
"19",118,5,0,-2.16703189524632,4339478.92653189,14.2306034684181
"20",119,5,0,-2.22783921560907,8673510.02974318,12.035216041406
"21",120,5,0,-2.11628383982589,4140761.29725289,12.9034043709437
"22",121,5,0,-2.18646207224044,11094917.3885171,10.7818032542864
"23",122,5,0,-2.18994479857141,9544971.53916654,11.3511922955513
"24",123,5,0,-2.21285770189651,4046303.63426476,9.62724609375
"25",124,5,0,-2.14933232786521,14442137.2488435,13.3344168186188
"26",125,5,0,-2.12202988477136,8667145.92076553,10.8419263799985
"27",126,5,0,-2.02645467912983,326483.496921654,17.015910410881
"28",127,5,0,-2.05902424686247,5909057.63041538,10.9437814911207
"29",128,5,0,-2.22431415355905,5026441.14296424,15.2838302930196
"30",129,5,0,-2.23750078672375,3114212.21199847,15.2721220890681
"31",130,5,0,-2.27122279450737,7712726.2918867,13.8423205892245
"32",131,5,0,-2.18737347785622,4126360.57739514,10.8988303343455
"33",132,5,0,-2.30335331028618,245691.662958475,13.3494207461675
"34",133,5,0,-2.17327447027059,8687520.3270363,15.0859010696411
"35",134,5,0,-2.21917760791692,7894383.79607742,10.8055547118187
"36",135,5,0,-2.18201340895888,16213775.2319011,13.7841558098793
"37",136,5,0,-2.19963871920895,5028430.64857755,16.2769027511279
"38",137,5,0,-2.15911990376724,9335292.22199457,12.8692456404368
"39",138,5,0,-2.21373896740901,3312963.62132427,11.9532530546188
"40",139,5,0,-2.21917760791692,4588261.27101368,12.3777261813482
"41",140,5,0,-2.25427718098418,9442430.73124863,13.2437017162641
"42",141,5,0,-2.21774279480835,4806403.61723163,12.1020980358124
"43",142,5,0,-2.14500025743373,10275095.7123017,14.1676864465078
"44",143,5,0,-1.95918814535629,12631479.908935,15.768690486749
"45",144,5,0,-2.38705074161926,11945146.9479909,13.623574090004
