"","ID","nruns","convergence","input.parm","hessian","mins"
"1",100,10,0,-2.29570097370716,3212891.03077534,29.3219098726908
"2",101,10,0,-2.39338783284876,2354986.05076163,35.6729035456975
"3",102,10,0,-2.14367835916498,2707383.56294094,30.7935378909111
"4",103,10,0,-2.42794291521342,5520322.6294642,24.9339115023613
"5",104,10,0,-2.25231112798007,2556287.95948204,32.1486306826274
"6",105,10,0,-2.23134879881728,2451461.91348528,35.3461685021718
"7",106,10,0,-2.16229509311661,3727384.84086739,38.7597564021746
"8",107,10,0,-2.28079255347299,1725404.29483085,27.5331098198891
"9",108,10,0,-2.45066078943239,2384173.4908238,32.2483001788457
"10",109,10,0,-2.41383391964584,3265345.32995553,31.5287428736687
"11",110,10,0,-2.33061475934896,2545094.40364846,26.036793076992
"12",111,10,0,-2.16064272028067,2353161.78010568,38.9010471622149
"13",112,10,0,-1.97268173147254,8259060.56103336,38.0376240372658
"14",113,10,0,-2.22166511414969,997529.07115252,36.5941062688828
"15",114,10,0,-2.12197719591958,3634468.68716158,29.67667380174
"16",115,10,0,-2.21699416036885,1108272.56148215,25.8105577309926
"17",116,10,0,-2.23020954179757,1706383.54038676,22.5229556282361
"18",117,10,0,-2.10344322158824,5025836.80640836,29.4214302062988
"19",118,10,0,-2.19941840283083,3304521.17083129,28.153493364652
"20",119,10,0,-2.18201340895888,741829.989689339,26.7695169647535
"21",120,10,0,-2.22946902473475,1986596.97442807,30.6206788341204
"22",121,10,0,-2.25310860789387,2639467.31239565,31.9347737749418
"23",122,10,0,-2.13932711069699,2634719.47085135,40.3701611359914
"24",123,10,0,-2.18058135250106,1474976.1861654,33.9384510238965
"25",124,10,0,-2.07582575030484,2879115.16831023,32.2832882761955
"26",125,10,0,-2.10312819339869,3685506.37924903,26.7613381505013
"27",126,10,0,-2.02977772645697,1896478.11143632,25.8226791461309
"28",127,10,0,-2.08842687788662,2398136.04877448,31.8403060793877
"29",128,10,0,-2.18025087793387,1358136.1849022,33.0182343562444
"30",129,10,0,-2.31178034440929,7210011.7233652,34.7957164684931
"31",130,10,0,-2.25481749342345,309324.687282214,27.1392609039942
"32",131,10,0,-2.220411931428,522827.335237334,29.9582795977592
"33",132,10,0,-2.41425240680251,3293648.9365894,34.9371025482814
"34",133,10,0,-2.13043063649254,2154738.61711183,33.1408942659696
"35",134,10,0,-2.30980996927473,3290654.02965696,34.8977442264557
"36",135,10,0,-2.11878260843675,4174982.00878864,26.6432497938474
"37",136,10,0,-2.18421657274014,3813190.5317314,33.1809321641922
"38",137,10,0,-2.220411931428,7112512.08885629,30.8420191327731
"39",138,10,0,-2.19963871920895,10929211.7866855,35.6457024216652
"40",139,10,0,-2.29761405785192,1178529.52824607,22.5604811310768
"41",140,10,0,-2.1370688678212,2317046.86856531,26.6688046097755
"42",141,10,0,-2.33922363800036,1510280.71832869,29.9694182475408
"43",142,10,0,-2.16879442627133,3065996.70472352,32.2448323090871
"44",143,10,0,-2.06628089785354,2129144.64146307,33.209528028965
"45",144,10,0,-2.39326826508971,1093736.70501132,28.2862673838933
