"","X","nruns","convergence","input.parm","hessian","mins"
"1","values_returned",1,0,-2.39200584101177,9726762.89847391,5.20117350419362
"2","",1,0,-2.54461122327013,963215.432856948,4.00703416268031
"3","values_returned",1,0,-2.30066975529274,15016930.2760431,5.36993575493495
"4","",1,0,-2.51508916639743,-822418.317365525,4.17761003573736
"5","",1,0,-2.26711751885391,11964068.4002711,5.0252703944842
"6","",1,0,-2.28791902040957,5020033.39772348,5.42849968671799
"7","",1,0,-2.21405742319744,7162696.89351162,5.08870138327281
"8","",1,0,-2.35689072544182,12520170.7971754,4.83063437541326
"9","",1,0,-2.53228531383639,7318358.9081038,5.54565161863963
"10","",1,0,-2.50662157765301,8772468.7173615,3.4724304040273
"11","",1,0,-2.36431522780622,4005168.99741049,5.50740188360214
"12","",1,0,-2.28504469893747,342607.967804035,5.17070823510488
"13","",1,0,0.657247927685783,20547.2395521227,5.4778365333875
"14","",1,0,-2.14890055783161,16097986.2697954,4.77986351251602
"15","",1,0,0.86197459931847,0,5.26393213669459
"16","",1,0,-2.21339353724991,7455241.90573485,5.29516308705012
"17","",1,0,-2.13003358477073,10838204.7822983,5.21787319978078
"18","",1,0,-2.12180027540707,15752499.1168882,5.60006218353907
"19","values_returned",1,0,-2.30920976359077,6327982.80340333,5.00412896871567
"20","",1,0,-2.23442014563513,9735274.30671354,5.2463338692983
"21","",1,0,-2.29257170798995,12813684.4363732,5.17883243560791
"22","",1,0,-2.28093170954417,4766494.55472246,4.58954950968424
"23","",1,0,-2.21012832096869,9649483.3593379,4.81190216938655
"24","",1,0,-2.21176393672791,3563990.84427009,5.08782423337301
"25","",1,0,-2.19339887163852,630513.400663546,5.52463812033335
"26","",1,0,-1.04372379050881,257811.351848822,5.35077569882075
"27","",1,0,-2.02376629761302,944366.556448582,5.79596339066823
"28","values_returned",1,0,-2.18102939177148,2594234.88773769,4.77460891803106
"29","",1,0,-2.27499496439654,8969153.900923,5.05290191570918
"30","",1,0,-2.37417727339244,9091014.97086116,5.09396038452784
"31","",1,0,-2.23312373759935,11702607.3270141,5.31421979268392
"32","",1,0,-2.22689460676627,3197309.39620696,5.09256918430328
"33","",1,0,-2.42676779818634,4491984.92494512,4.29976097345352
"34","",1,0,-2.15961204854569,9255156.53180667,5.12279925346374
"35","",1,0,-2.45302354708334,6889567.17940707,5.28549696207047
"36","",1,0,-2.18693619429775,10811495.5560449,4.6361171801885
"37","values_returned",1,0,-2.33144480138217,2383754.26836971,4.57317053476969
"38","",1,0,1.04051290996414,0,3.96105560064316
"39","",1,0,-2.21956989253039,10362102.1632018,5.49741315046946
"40","",1,0,-2.3619541930077,5516825.45323832,5.05510634978612
"41","",1,0,0.960768840661576,0,5.46182615359624
"42","",1,0,-2.36034061579829,13578130.0708391,4.69110369682312
"43","",1,0,-2.26603734664416,11519936.4779249,5.35975771347682
"44","",1,0,-1.1393726373955,53380.5328516124,5.62579513788223
"45","",1,0,-2.32564429669685,7023512.74997962,5.16728707154592
