"","X","S","I","R","Kids","Adults","ID"
"874",874,1751,116,15,59,57,117
"875",875,1558,193,29,90,103,117
"876",876,1296,262,55,119,143,117
"877",877,945,351,68,137,214,117
"878",878,594,351,119,114,237,117
"879",879,341,253,134,54,199,117
"880",880,199,142,146,26,116,117
"881",881,122,77,156,11,66,117
"882",882,57,65,150,5,60,117
"883",883,37,20,138,2,18,117
"884",884,30,7,121,1,6,117
"885",885,22,8,123,1,7,117
"886",886,14,8,86,1,7,117
"887",887,14,0,91,0,0,117
"888",888,10,4,84,0,4,117
"889",889,9,1,54,0,1,117
"890",890,8,1,56,0,1,117
"891",891,8,0,47,0,0,117
"892",892,8,0,51,0,0,117
"893",893,7,1,40,0,1,117
"894",894,6,1,19,0,1,117
"895",895,5,1,26,0,1,117
"896",896,4,1,24,0,1,117
"897",897,4,0,20,0,0,117
"898",898,4,0,14,0,0,117
"899",899,4,0,22,0,0,117
"900",900,4,0,18,0,0,117
"901",901,4,0,12,0,0,117
"902",902,4,0,5,0,0,117
"903",903,4,0,7,0,0,117
"904",904,4,0,6,0,0,117
"905",905,4,0,5,0,0,117
"906",906,4,0,5,0,0,117
"907",907,4,0,3,0,0,117
"908",908,4,0,4,0,0,117
"909",909,4,0,2,0,0,117
"910",910,4,0,4,0,0,117
"911",911,4,0,2,0,0,117
"912",912,4,0,2,0,0,117
"913",913,4,0,0,0,0,117
"914",914,4,0,1,0,0,117
"915",915,4,0,1,0,0,117
"916",916,4,0,1,0,0,117
"917",917,4,0,2,0,0,117
"918",918,4,0,4,0,0,117
"919",919,1997,3,0,693,1304,118
"920",920,1992,5,1,2,3,118
"921",921,1986,6,2,0,6,118
"922",922,1974,12,3,9,3,118
"923",923,1946,28,3,17,11,118
"924",924,1893,53,4,29,24,118
"925",925,1812,81,10,35,46,118
"926",926,1660,152,23,66,86,118
"927",927,1428,232,38,109,123,118
"928",928,1123,305,69,131,174,118
"929",929,779,344,85,127,217,118
"930",930,485,294,149,82,212,118
"931",931,278,207,164,49,158,118
"932",932,161,117,152,20,97,118
"933",933,109,52,154,6,46,118
"934",934,77,32,134,3,29,118
"935",935,52,25,127,1,24,118
"936",936,39,13,96,2,11,118
"937",937,30,9,115,0,9,118
"938",938,24,6,101,0,6,118
"939",939,23,1,73,0,1,118
"940",940,19,4,65,0,4,118
"941",941,16,3,45,1,2,118
"942",942,13,3,45,1,2,118
"943",943,13,0,41,0,0,118
"944",944,9,4,42,2,2,118
"945",945,9,0,34,0,0,118
"946",946,9,0,35,0,0,118
"947",947,8,1,20,0,1,118
"948",948,8,0,21,0,0,118
"949",949,8,0,16,0,0,118
"950",950,8,0,12,0,0,118
"951",951,8,0,17,0,0,118
"952",952,8,0,12,0,0,118
"953",953,8,0,10,0,0,118
"954",954,8,0,10,0,0,118
"955",955,8,0,5,0,0,118
"956",956,7,1,5,0,1,118
"957",957,7,0,3,0,0,118
"958",958,7,0,10,0,0,118
"959",959,7,0,4,0,0,118
"960",960,7,0,6,0,0,118
"961",961,7,0,6,0,0,118
"962",962,7,0,6,0,0,118
"963",963,7,0,6,0,0,118
"964",964,7,0,5,0,0,118
"965",965,7,0,2,0,0,118
"966",966,7,0,1,0,0,118
"967",967,7,0,0,0,0,118
"968",968,7,0,0,0,0,118
"969",969,7,0,1,0,0,118
"970",970,1997,3,0,692,1305,119
"971",971,1995,2,0,1,1,119
"972",972,1987,8,0,6,2,119
"973",973,1972,15,2,7,8,119
"974",974,1948,24,4,17,7,119
"975",975,1879,69,13,37,32,119
"976",976,1786,93,18,44,49,119
"977",977,1618,168,19,80,88,119
"978",978,1383,235,30,124,111,119
"979",979,1076,307,67,118,189,119
"980",980,753,323,96,92,231,119
"981",981,470,283,132,77,206,119
"982",982,279,191,167,52,139,119
"983",983,168,111,159,15,96,119
"984",984,87,81,151,14,67,119
"985",985,54,33,139,2,31,119
"986",986,34,20,126,2,18,119
"987",987,21,13,114,2,11,119
"988",988,18,3,101,0,3,119
"989",989,15,3,83,1,2,119
"990",990,13,2,72,0,2,119
"991",991,12,1,68,0,1,119
"992",992,11,1,66,0,1,119
"993",993,9,2,47,0,2,119
"994",994,8,1,35,0,1,119
"995",995,8,0,33,0,0,119
"996",996,8,0,38,0,0,119
"997",997,7,1,28,0,1,119
"998",998,7,0,30,0,0,119
"999",999,7,0,22,0,0,119
"1000",1000,7,0,16,0,0,119
"1001",1001,7,0,15,0,0,119
"1002",1002,7,0,12,0,0,119
"1003",1003,6,1,10,0,1,119
"1004",1004,6,0,13,0,0,119
"1005",1005,6,0,7,0,0,119
"1006",1006,6,0,9,0,0,119
"1007",1007,6,0,10,0,0,119
"1008",1008,6,0,3,0,0,119
"1009",1009,6,0,3,0,0,119
"1010",1010,6,0,4,0,0,119
"1011",1011,6,0,4,0,0,119
"1012",1012,6,0,7,0,0,119
"1013",1013,6,0,3,0,0,119
"1014",1014,6,0,2,0,0,119
"1015",1015,6,0,2,0,0,119
"1016",1016,6,0,1,0,0,119
"1017",1017,6,0,2,0,0,119
"1018",1018,6,0,1,0,0,119
"1019",1019,6,0,0,0,0,119
"1020",1020,6,0,1,0,0,119
"1021",1,1997,3,0,712,1285,120
"1022",2,1997,0,1,0,0,120
"1023",3,1993,4,0,2,2,120
"1024",4,1988,5,1,4,1,120
"1025",5,1977,11,0,6,5,120
"1026",6,1947,30,4,19,11,120
"1027",7,1885,62,7,40,22,120
"1028",8,1773,112,11,55,57,120
"1029",9,1561,212,25,107,105,120
"1030",10,1271,290,53,144,146,120
"1031",11,927,344,84,139,205,120
"1032",12,598,329,114,97,232,120
"1033",13,354,244,170,58,186,120
"1034",14,210,144,161,22,122,120
"1035",15,120,90,155,11,79,120
"1036",16,83,37,151,4,33,120
"1037",17,53,30,127,1,29,120
"1038",18,40,13,110,1,12,120
"1039",19,33,7,101,0,7,120
"1040",20,24,9,84,1,8,120
"1041",21,20,4,82,0,4,120
"1042",22,15,5,75,0,5,120
"1043",23,12,3,58,1,2,120
"1044",24,10,2,51,0,2,120
"1045",25,10,0,47,0,0,120
"1046",26,9,1,37,0,1,120
"1047",27,9,0,34,0,0,120
"1048",28,8,1,32,0,1,120
"1049",29,6,2,38,0,2,120
"1050",30,6,0,23,0,0,120
"1051",31,6,0,20,0,0,120
"1052",32,5,1,14,0,1,120
"1053",33,5,0,11,0,0,120
"1054",34,5,0,16,0,0,120
"1055",35,5,0,14,0,0,120
"1056",36,5,0,15,0,0,120
"1057",37,5,0,5,0,0,120
"1058",38,5,0,10,0,0,120
"1059",39,5,0,8,0,0,120
"1060",40,5,0,1,0,0,120
"1061",41,5,0,6,0,0,120
"1062",42,5,0,5,0,0,120
"1063",43,5,0,3,0,0,120
"1064",44,5,0,2,0,0,120
"1065",45,5,0,4,0,0,120
"1066",46,5,0,5,0,0,120
"1067",47,5,0,3,0,0,120
"1068",48,5,0,2,0,0,120
"1069",49,5,0,2,0,0,120
"1070",50,5,0,1,0,0,120
"1071",51,5,0,3,0,0,120
"1072",52,1997,3,0,719,1278,121
"1073",53,1995,2,0,1,1,121
"1074",54,1990,5,0,2,3,121
"1075",55,1981,9,0,5,4,121
"1076",56,1964,17,1,5,12,121
"1077",57,1931,33,4,19,14,121
"1078",58,1866,65,8,27,38,121
"1079",59,1777,89,11,47,42,121
"1080",60,1613,164,27,74,90,121
"1081",61,1345,268,42,124,144,121
"1082",62,1010,335,74,153,182,121
"1083",63,658,352,124,134,218,121
"1084",64,404,254,132,68,186,121
"1085",65,227,177,181,33,144,121
"1086",66,137,90,161,13,77,121
"1087",67,77,60,147,5,55,121
"1088",68,52,25,137,3,22,121
"1089",69,35,17,131,1,16,121
"1090",70,26,9,95,2,7,121
"1091",71,18,8,98,2,6,121
"1092",72,15,3,69,0,3,121
"1093",73,14,1,85,0,1,121
"1094",74,13,1,60,0,1,121
"1095",75,12,1,66,0,1,121
"1096",76,7,5,46,0,5,121
"1097",77,7,0,39,0,0,121
"1098",78,7,0,31,0,0,121
"1099",79,6,1,25,0,1,121
"1100",80,6,0,27,0,0,121
"1101",81,4,2,19,0,2,121
"1102",82,4,0,19,0,0,121
"1103",83,4,0,21,0,0,121
"1104",84,4,0,14,0,0,121
"1105",85,4,0,14,0,0,121
"1106",86,3,1,18,0,1,121
"1107",87,3,0,12,0,0,121
"1108",88,3,0,5,0,0,121
"1109",89,3,0,6,0,0,121
"1110",90,3,0,4,0,0,121
"1111",91,3,0,5,0,0,121
"1112",92,3,0,8,0,0,121
"1113",93,3,0,3,0,0,121
"1114",94,3,0,5,0,0,121
"1115",95,3,0,5,0,0,121
"1116",96,3,0,3,0,0,121
"1117",97,3,0,2,0,0,121
"1118",98,3,0,3,0,0,121
"1119",99,3,0,2,0,0,121
"1120",100,3,0,1,0,0,121
"1121",101,3,0,1,0,0,121
"1122",102,3,0,0,0,0,121
"1123",103,1997,3,0,713,1284,122
"1124",104,1993,4,0,2,2,122
"1125",105,1988,5,2,3,2,122
"1126",106,1973,15,2,9,6,122
"1127",107,1947,26,2,10,16,122
"1128",108,1890,57,6,29,28,122
"1129",109,1800,90,7,47,43,122
"1130",110,1615,185,20,98,87,122
"1131",111,1352,263,54,120,143,122
"1132",112,1021,331,78,149,182,122
"1133",113,664,357,84,120,237,122
"1134",114,406,258,137,70,188,122
"1135",115,247,159,161,22,137,122
"1136",116,158,89,153,11,78,122
"1137",117,102,56,148,6,50,122
"1138",118,69,33,138,2,31,122
"1139",119,49,20,108,5,15,122
"1140",120,36,13,114,3,10,122
"1141",121,21,15,94,2,13,122
"1142",122,17,4,89,1,3,122
"1143",123,14,3,76,0,3,122
"1144",124,12,2,68,2,0,122
"1145",125,9,3,58,1,2,122
"1146",126,8,1,55,0,1,122
"1147",127,8,0,53,0,0,122
"1148",128,8,0,40,0,0,122
"1149",129,7,1,31,0,1,122
"1150",130,7,0,32,0,0,122
"1151",131,6,1,24,0,1,122
"1152",132,6,0,28,0,0,122
"1153",133,4,2,20,1,1,122
"1154",134,4,0,7,0,0,122
"1155",135,4,0,13,0,0,122
"1156",136,4,0,14,0,0,122
"1157",137,4,0,11,0,0,122
"1158",138,4,0,8,0,0,122
"1159",139,4,0,7,0,0,122
"1160",140,4,0,10,0,0,122
"1161",141,4,0,3,0,0,122
"1162",142,4,0,3,0,0,122
"1163",143,4,0,4,0,0,122
"1164",144,4,0,2,0,0,122
"1165",145,4,0,2,0,0,122
"1166",146,4,0,2,0,0,122
"1167",147,4,0,5,0,0,122
"1168",148,3,1,3,0,1,122
"1169",149,3,0,5,0,0,122
"1170",150,3,0,4,0,0,122
"1171",151,3,0,0,0,0,122
"1172",152,3,0,1,0,0,122
"1173",153,3,0,2,0,0,122
"1174",154,1997,3,0,693,1304,123
"1175",155,1994,3,0,1,2,123
"1176",156,1988,6,0,4,2,123
"1177",157,1971,17,1,11,6,123
"1178",158,1937,34,2,20,14,123
"1179",159,1874,63,12,30,33,123
"1180",160,1773,101,20,55,46,123
"1181",161,1591,182,25,84,98,123
"1182",162,1334,257,48,118,139,123
"1183",163,1037,297,67,122,175,123
"1184",164,697,340,98,116,224,123
"1185",165,432,265,149,71,194,123
"1186",166,265,167,132,28,139,123
"1187",167,155,110,133,12,98,123
"1188",168,90,65,154,9,56,123
"1189",169,60,30,136,3,27,123
"1190",170,37,23,136,5,18,123
"1191",171,26,11,111,1,10,123
"1192",172,18,8,108,1,7,123
"1193",173,13,5,89,0,5,123
"1194",174,11,2,66,0,2,123
"1195",175,10,1,68,0,1,123
"1196",176,9,1,52,0,1,123
"1197",177,8,1,45,0,1,123
"1198",178,6,2,41,0,2,123
"1199",179,6,0,37,0,0,123
"1200",180,5,1,33,0,1,123
"1201",181,3,2,33,1,1,123
"1202",182,3,0,33,0,0,123
"1203",183,3,0,21,0,0,123
"1204",184,3,0,21,0,0,123
"1205",185,3,0,21,0,0,123
"1206",186,3,0,10,0,0,123
"1207",187,3,0,17,0,0,123
"1208",188,3,0,18,0,0,123
"1209",189,3,0,6,0,0,123
"1210",190,3,0,5,0,0,123
"1211",191,3,0,12,0,0,123
"1212",192,3,0,3,0,0,123
"1213",193,3,0,2,0,0,123
"1214",194,3,0,7,0,0,123
"1215",195,3,0,3,0,0,123
"1216",196,3,0,2,0,0,123
"1217",197,3,0,5,0,0,123
"1218",198,3,0,1,0,0,123
"1219",199,3,0,3,0,0,123
"1220",200,3,0,1,0,0,123
"1221",201,3,0,2,0,0,123
"1222",202,3,0,2,0,0,123
"1223",203,3,0,1,0,0,123
"1224",204,3,0,1,0,0,123
"1225",205,1997,3,0,723,1274,124
"1226",206,1991,6,1,4,2,124
"1227",207,1984,7,2,3,4,124
"1228",208,1969,15,1,7,8,124
"1229",209,1930,39,5,17,22,124
"1230",210,1849,81,5,40,41,124
"1231",211,1723,126,11,53,73,124
"1232",212,1486,237,39,105,132,124
"1233",213,1184,302,69,131,171,124
"1234",214,837,347,83,142,205,124
"1235",215,526,311,122,110,201,124
"1236",216,304,222,152,61,161,124
"1237",217,182,122,162,27,95,124
"1238",218,110,72,156,11,61,124
"1239",219,69,41,126,7,34,124
"1240",220,51,18,154,1,17,124
"1241",221,36,15,137,0,15,124
"1242",222,22,14,112,2,12,124
"1243",223,20,2,82,0,2,124
"1244",224,15,5,82,1,4,124
"1245",225,15,0,53,0,0,124
"1246",226,14,1,63,0,1,124
"1247",227,11,3,48,1,2,124
"1248",228,10,1,39,0,1,124
"1249",229,9,1,30,0,1,124
"1250",230,9,0,32,0,0,124
"1251",231,9,0,35,0,0,124
"1252",232,9,0,37,0,0,124
"1253",233,9,0,26,0,0,124
"1254",234,9,0,16,0,0,124
"1255",235,9,0,9,0,0,124
"1256",236,8,1,19,0,1,124
"1257",237,8,0,14,0,0,124
"1258",238,8,0,13,0,0,124
"1259",239,7,1,9,0,1,124
"1260",240,7,0,5,0,0,124
"1261",241,7,0,2,0,0,124
"1262",242,7,0,6,0,0,124
"1263",243,7,0,6,0,0,124
"1264",244,7,0,3,0,0,124
"1265",245,7,0,3,0,0,124
"1266",246,7,0,2,0,0,124
"1267",247,7,0,3,0,0,124
"1268",248,7,0,2,0,0,124
"1269",249,7,0,3,0,0,124
"1270",250,7,0,4,0,0,124
"1271",251,7,0,0,0,0,124
"1272",252,7,0,2,0,0,124
"1273",253,7,0,1,0,0,124
"1274",254,7,0,0,0,0,124
"1275",255,7,0,3,0,0,124
"1276",256,1997,3,0,681,1316,125
"1277",257,1994,3,0,2,1,125
"1278",258,1986,8,0,5,3,125
"1279",259,1970,16,1,10,6,125
"1280",260,1937,33,4,18,15,125
"1281",261,1862,75,10,45,30,125
"1282",262,1745,117,10,62,55,125
"1283",263,1531,214,23,81,133,125
"1284",264,1254,277,65,121,156,125
"1285",265,932,322,83,121,201,125
"1286",266,598,334,118,113,221,125
"1287",267,373,225,144,53,172,125
"1288",268,218,155,156,30,125,125
"1289",269,135,83,128,11,72,125
"1290",270,82,53,154,6,47,125
"1291",271,58,24,152,0,24,125
"1292",272,38,20,121,1,19,125
"1293",273,26,12,94,1,11,125
"1294",274,18,8,109,1,7,125
"1295",275,15,3,82,0,3,125
"1296",276,13,2,67,0,2,125
"1297",277,12,1,67,0,1,125
"1298",278,11,1,62,0,1,125
"1299",279,11,0,61,0,0,125
"1300",280,10,1,38,0,1,125
"1301",281,10,0,24,0,0,125
"1302",282,10,0,25,0,0,125
"1303",283,10,0,22,0,0,125
"1304",284,10,0,20,0,0,125
"1305",285,10,0,24,0,0,125
"1306",286,10,0,12,0,0,125
"1307",287,9,1,16,0,1,125
"1308",288,8,1,13,0,1,125
"1309",289,8,0,13,0,0,125
"1310",290,8,0,11,0,0,125
"1311",291,8,0,8,0,0,125
"1312",292,8,0,6,0,0,125
"1313",293,8,0,8,0,0,125
"1314",294,8,0,1,0,0,125
"1315",295,8,0,8,0,0,125
"1316",296,8,0,4,0,0,125
"1317",297,8,0,9,0,0,125
"1318",298,8,0,4,0,0,125
"1319",299,8,0,1,0,0,125
"1320",300,8,0,2,0,0,125
"1321",301,8,0,0,0,0,125
"1322",302,8,0,0,0,0,125
"1323",303,8,0,4,0,0,125
"1324",304,8,0,0,0,0,125
"1325",305,8,0,1,0,0,125
"1326",306,8,0,1,0,0,125
"1327",307,1997,3,0,719,1278,126
"1328",308,1990,7,1,4,3,126
"1329",309,1975,15,1,7,8,126
"1330",310,1948,27,5,13,14,126
"1331",311,1899,49,7,24,25,126
"1332",312,1803,96,15,49,47,126
"1333",313,1643,160,17,68,92,126
"1334",314,1369,274,35,141,133,126
"1335",315,1045,324,77,145,179,126
"1336",316,700,345,106,129,216,126
"1337",317,410,290,132,80,210,126
"1338",318,234,176,162,30,146,126
"1339",319,147,87,171,14,73,126
"1340",320,101,46,153,5,41,126
"1341",321,76,25,139,3,22,126
"1342",322,55,21,130,3,18,126
"1343",323,42,13,110,1,12,126
"1344",324,29,13,83,1,12,126
"1345",325,22,7,85,0,7,126
"1346",326,19,3,60,0,3,126
"1347",327,13,6,62,0,6,126
"1348",328,11,2,66,1,1,126
"1349",329,9,2,49,0,2,126
"1350",330,9,0,46,0,0,126
"1351",331,9,0,24,0,0,126
"1352",332,9,0,29,0,0,126
"1353",333,9,0,26,0,0,126
"1354",334,9,0,26,0,0,126
"1355",335,9,0,23,0,0,126
"1356",336,9,0,21,0,0,126
"1357",337,9,0,22,0,0,126
"1358",338,9,0,16,0,0,126
"1359",339,9,0,13,0,0,126
"1360",340,9,0,11,0,0,126
"1361",341,9,0,8,0,0,126
"1362",342,9,0,10,0,0,126
"1363",343,9,0,8,0,0,126
"1364",344,9,0,4,0,0,126
"1365",345,9,0,7,0,0,126
"1366",346,9,0,5,0,0,126
"1367",347,9,0,5,0,0,126
"1368",348,9,0,3,0,0,126
"1369",349,9,0,1,0,0,126
"1370",350,9,0,2,0,0,126
"1371",351,9,0,4,0,0,126
"1372",352,9,0,0,0,0,126
"1373",353,9,0,2,0,0,126
"1374",354,9,0,1,0,0,126
"1375",355,9,0,1,0,0,126
"1376",356,9,0,1,0,0,126
"1377",357,9,0,1,0,0,126
"1378",358,1997,3,0,697,1300,127
"1379",359,1992,5,0,2,3,127
"1380",360,1982,10,0,5,5,127
"1381",361,1955,27,4,16,11,127
"1382",362,1920,35,4,18,17,127
"1383",363,1849,71,10,37,34,127
"1384",364,1731,118,15,55,63,127
"1385",365,1516,215,37,101,114,127
"1386",366,1203,313,52,134,179,127
"1387",367,864,339,99,134,205,127
"1388",368,568,296,129,98,198,127
"1389",369,343,225,157,41,184,127
"1390",370,209,134,148,28,106,127
"1391",371,125,84,157,13,71,127
"1392",372,80,45,138,7,38,127
"1393",373,61,19,105,2,17,127
"1394",374,46,15,126,2,13,127
"1395",375,33,13,98,0,13,127
"1396",376,18,15,121,2,13,127
"1397",377,14,4,73,0,4,127
"1398",378,13,1,68,1,0,127
"1399",379,10,3,43,0,3,127
"1400",380,9,1,58,0,1,127
"1401",381,9,0,41,0,0,127
"1402",382,8,1,35,0,1,127
"1403",383,8,0,47,0,0,127
"1404",384,7,1,25,0,1,127
"1405",385,7,0,29,0,0,127
"1406",386,6,1,23,0,1,127
"1407",387,6,0,17,0,0,127
"1408",388,6,0,16,0,0,127
"1409",389,6,0,15,0,0,127
"1410",390,5,1,13,0,1,127
"1411",391,5,0,12,0,0,127
"1412",392,5,0,6,0,0,127
"1413",393,4,1,9,0,1,127
"1414",394,4,0,12,0,0,127
"1415",395,4,0,7,0,0,127
"1416",396,4,0,9,0,0,127
"1417",397,4,0,4,0,0,127
"1418",398,4,0,3,0,0,127
"1419",399,4,0,3,0,0,127
"1420",400,4,0,3,0,0,127
"1421",401,4,0,5,0,0,127
"1422",402,4,0,2,0,0,127
"1423",403,4,0,5,0,0,127
"1424",404,4,0,2,0,0,127
"1425",405,4,0,2,0,0,127
"1426",406,4,0,0,0,0,127
"1427",407,4,0,0,0,0,127
"1428",408,4,0,3,0,0,127
"1429",409,1997,3,0,681,1316,128
"1430",410,1992,5,0,1,4,128
"1431",411,1983,9,1,4,5,128
"1432",412,1964,19,2,7,12,128
"1433",413,1934,30,3,18,12,128
"1434",414,1879,55,7,26,29,128
"1435",415,1787,92,17,47,45,128
"1436",416,1633,154,26,68,86,128
"1437",417,1385,248,48,103,145,128
"1438",418,1065,320,74,127,193,128
"1439",419,736,329,110,115,214,128
"1440",420,477,259,126,82,177,128
"1441",421,291,186,149,39,147,128
"1442",422,185,106,146,20,86,128
"1443",423,115,70,136,5,65,128
"1444",424,73,42,133,5,37,128
"1445",425,51,22,130,4,18,128
"1446",426,39,12,105,4,8,128
"1447",427,28,11,106,1,10,128
"1448",428,26,2,76,0,2,128
"1449",429,19,7,77,2,5,128
"1450",430,16,3,57,1,2,128
"1451",431,13,3,67,0,3,128
"1452",432,11,2,55,1,1,128
"1453",433,10,1,44,0,1,128
"1454",434,8,2,49,1,1,128
"1455",435,6,2,22,0,2,128
"1456",436,6,0,31,0,0,128
"1457",437,6,0,23,0,0,128
"1458",438,4,2,21,0,2,128
"1459",439,4,0,20,0,0,128
"1460",440,4,0,13,0,0,128
"1461",441,4,0,16,0,0,128
"1462",442,4,0,16,0,0,128
"1463",443,4,0,13,0,0,128
"1464",444,4,0,12,0,0,128
"1465",445,4,0,7,0,0,128
"1466",446,4,0,9,0,0,128
"1467",447,4,0,5,0,0,128
"1468",448,4,0,11,0,0,128
"1469",449,4,0,5,0,0,128
"1470",450,4,0,3,0,0,128
"1471",451,4,0,3,0,0,128
"1472",452,4,0,2,0,0,128
"1473",453,4,0,5,0,0,128
"1474",454,4,0,2,0,0,128
"1475",455,4,0,0,0,0,128
"1476",456,4,0,3,0,0,128
"1477",457,4,0,2,0,0,128
"1478",458,4,0,3,0,0,128
"1479",459,4,0,1,0,0,128
"1480",460,1997,3,0,679,1318,129
"1481",461,1993,4,1,1,3,129
"1482",462,1987,6,0,1,5,129
"1483",463,1977,10,2,3,7,129
"1484",464,1960,17,7,2,15,129
"1485",465,1934,26,3,10,16,129
"1486",466,1883,51,9,19,32,129
"1487",467,1786,97,18,46,51,129
"1488",468,1646,140,20,76,64,129
"1489",469,1407,239,38,116,123,129
"1490",470,1101,306,73,132,174,129
"1491",471,775,326,87,118,208,129
"1492",472,488,287,104,86,201,129
"1493",473,283,205,158,40,165,129
"1494",474,180,103,173,13,90,129
"1495",475,102,78,160,5,73,129
"1496",476,67,35,131,4,31,129
"1497",477,52,15,115,4,11,129
"1498",478,37,15,128,1,14,129
"1499",479,30,7,93,0,7,129
"1500",480,22,8,70,1,7,129
"1501",481,20,2,70,0,2,129
"1502",482,18,2,67,0,2,129
"1503",483,15,3,57,0,3,129
"1504",484,12,3,64,1,2,129
"1505",485,9,3,39,0,3,129
"1506",486,8,1,43,0,1,129
"1507",487,7,1,37,0,1,129
"1508",488,7,0,32,0,0,129
"1509",489,7,0,24,0,0,129
"1510",490,7,0,11,0,0,129
"1511",491,6,1,21,0,1,129
"1512",492,6,0,20,0,0,129
"1513",493,6,0,15,0,0,129
"1514",494,6,0,11,0,0,129
"1515",495,5,1,11,0,1,129
"1516",496,5,0,10,0,0,129
"1517",497,5,0,7,0,0,129
"1518",498,5,0,5,0,0,129
"1519",499,5,0,10,0,0,129
"1520",500,5,0,4,0,0,129
"1521",501,5,0,6,0,0,129
"1522",502,4,1,8,0,1,129
"1523",503,4,0,9,0,0,129
"1524",504,4,0,4,0,0,129
"1525",505,4,0,4,0,0,129
"1526",506,4,0,1,0,0,129
"1527",507,4,0,2,0,0,129
"1528",508,4,0,1,0,0,129
"1529",509,4,0,3,0,0,129
"1530",510,4,0,2,0,0,129
"1531",511,1997,3,0,683,1314,130
"1532",512,1993,4,1,1,3,130
"1533",513,1988,5,0,4,1,130
"1534",514,1979,9,0,6,3,130
"1535",515,1958,21,5,12,9,130
"1536",516,1924,34,5,19,15,130
"1537",517,1865,59,4,29,30,130
"1538",518,1761,104,17,48,56,130
"1539",519,1578,183,26,81,102,130
"1540",520,1329,249,51,109,140,130
"1541",521,992,337,56,136,201,130
"1542",522,665,327,117,96,231,130
"1543",523,425,240,127,69,171,130
"1544",524,265,160,154,37,123,130
"1545",525,160,105,141,18,87,130
"1546",526,89,71,148,9,62,130
"1547",527,53,36,157,4,32,130
"1548",528,35,18,124,2,16,130
"1549",529,21,14,100,0,14,130
"1550",530,15,6,96,1,5,130
"1551",531,10,5,88,1,4,130
"1552",532,7,3,77,0,3,130
"1553",533,7,0,68,0,0,130
"1554",534,5,2,49,1,1,130
"1555",535,4,1,53,0,1,130
"1556",536,4,0,34,0,0,130
"1557",537,4,0,42,0,0,130
"1558",538,3,1,42,0,1,130
"1559",539,3,0,30,0,0,130
"1560",540,2,1,25,0,1,130
"1561",541,2,0,19,0,0,130
"1562",542,2,0,24,0,0,130
"1563",543,2,0,15,0,0,130
"1564",544,2,0,14,0,0,130
"1565",545,2,0,19,0,0,130
"1566",546,2,0,9,0,0,130
"1567",547,2,0,6,0,0,130
"1568",548,2,0,12,0,0,130
"1569",549,2,0,6,0,0,130
"1570",550,2,0,5,0,0,130
"1571",551,2,0,6,0,0,130
"1572",552,2,0,5,0,0,130
"1573",553,2,0,1,0,0,130
"1574",554,2,0,4,0,0,130
"1575",555,2,0,0,0,0,130
"1576",556,2,0,3,0,0,130
"1577",557,2,0,3,0,0,130
"1578",558,2,0,1,0,0,130
"1579",559,2,0,2,0,0,130
"1580",560,2,0,0,0,0,130
"1581",561,2,0,2,0,0,130
"1582",562,1997,3,0,670,1327,131
"1583",563,1996,1,0,0,1,131
"1584",564,1990,6,0,4,2,131
"1585",565,1976,14,3,7,7,131
"1586",566,1950,26,3,14,12,131
"1587",567,1898,52,8,29,23,131
"1588",568,1809,89,9,42,47,131
"1589",569,1674,135,25,55,80,131
"1590",570,1456,218,30,105,113,131
"1591",571,1146,310,71,128,182,131
"1592",572,822,324,99,121,203,131
"1593",573,523,299,127,85,214,131
"1594",574,316,207,152,41,166,131
"1595",575,185,131,143,22,109,131
"1596",576,121,64,165,4,60,131
"1597",577,79,42,150,3,39,131
"1598",578,46,33,110,5,28,131
"1599",579,32,14,114,1,13,131
"1600",580,19,13,118,0,13,131
"1601",581,15,4,92,0,4,131
"1602",582,13,2,67,0,2,131
"1603",583,9,4,54,3,1,131
"1604",584,8,1,51,0,1,131
"1605",585,8,0,55,0,0,131
"1606",586,7,1,50,0,1,131
"1607",587,7,0,42,0,0,131
"1608",588,6,1,36,0,1,131
"1609",589,5,1,28,0,1,131
"1610",590,5,0,17,0,0,131
"1611",591,5,0,27,0,0,131
"1612",592,5,0,15,0,0,131
"1613",593,5,0,15,0,0,131
"1614",594,4,1,16,0,1,131
"1615",595,4,0,17,0,0,131
"1616",596,4,0,10,0,0,131
"1617",597,4,0,15,0,0,131
"1618",598,4,0,6,0,0,131
"1619",599,4,0,6,0,0,131
"1620",600,4,0,11,0,0,131
"1621",601,4,0,4,0,0,131
"1622",602,4,0,5,0,0,131
"1623",603,4,0,6,0,0,131
"1624",604,4,0,3,0,0,131
"1625",605,4,0,2,0,0,131
"1626",606,4,0,5,0,0,131
"1627",607,4,0,1,0,0,131
"1628",608,4,0,1,0,0,131
"1629",609,4,0,4,0,0,131
"1630",610,4,0,0,0,0,131
"1631",611,4,0,2,0,0,131
"1632",612,4,0,0,0,0,131
"1633",613,1997,3,0,700,1297,132
"1634",614,1996,1,2,1,0,132
"1635",615,1994,2,0,0,2,132
"1636",616,1990,4,0,1,3,132
"1637",617,1980,10,4,4,6,132
"1638",618,1965,15,2,9,6,132
"1639",619,1938,27,5,13,14,132
"1640",620,1881,57,8,24,33,132
"1641",621,1783,98,16,49,49,132
"1642",622,1617,166,36,77,89,132
"1643",623,1374,243,40,115,128,132
"1644",624,1063,311,71,136,175,132
"1645",625,761,302,115,97,205,132
"1646",626,500,261,128,75,186,132
