"","ID","nruns","convergence","input.parm","hessian","mins"
"1",100,5,0,-2.23784344808019,3952865.26489998,17.0828292330106
"2",101,5,0,-2.30847167187722,3779014.60790107,16.1585104703903
"3",102,5,0,-2.16874375004578,6196690.21775592,16.7748115857442
"4",103,5,0,-2.34066493449093,6831117.35179473,15.4736664414406
"5",104,5,0,-2.23859813448581,13229693.7536549,16.441315972805
"6",105,5,0,-4.16684808403545,0,2.60027429262797
"7",106,5,0,-4.38111865560983,0,2.55846759875615
"8",107,5,0,-2.22821794350482,3554809.3383582,11.1270012140274
"9",108,5,0,-2.41849330600188,2619336.40280615,15.3972192883492
"10",109,5,0,-2.36683891740654,7849943.74801224,14.8720207134883
"11",110,5,0,-2.36442605886861,4005168.99741049,18.0678564508756
"12",111,5,0,-2.2186878429531,2756437.09628943,16.3411991318067
"13",112,5,0,-2.04906005060751,7278891.17121046,18.4417074720065
"14",113,5,0,-2.21571123775054,4065108.04673707,17.5399225234985
"15",114,5,0,0.85845536433584,5645.3356919306,16.5555885950724
"16",115,5,0,-2.12521503433249,3022142.28870575,16.2491666316986
"17",116,5,0,-2.10539267691136,5314563.46936466,17.213816177845
"18",117,5,0,-2.15885397676721,9661912.15965307,15.8414040088654
"19",118,5,0,-2.26236256133337,291427.837680562,16.2566701094309
"20",119,5,0,-2.14635259791059,7867352.67208219,18.950413163503
"21",120,5,0,-2.11509713611978,5427094.37243437,12.6933468937874
"22",121,5,0,-2.24902181702414,4702474.91451333,16.7412930647532
"23",122,5,0,-2.11761393543022,3785711.97769845,16.824771519502
"24",123,5,0,-2.19394807375955,2700264.72204566,18.0235797842344
"25",124,5,0,0.185223380684636,0,16.320482412974
"26",125,5,0,-2.17395888015732,1406477.28831849,17.032414273421
"27",126,5,0,0.848815140151969,0.00620973139575653,16.6871860782305
"28",127,5,0,-1.9571243710383,1348663.845101,17.1093357721965
"29",128,5,0,-2.33962773807369,13209464.0800692,18.4291242361069
"30",129,5,0,-2.22806463961362,4195156.22767281,15.3570735096931
"31",130,5,0,-2.17745617679468,5407692.87163025,16.1788327177366
"32",131,5,0,-2.33160643671376,10118385.7044897,16.9598238031069
"33",132,5,0,-2.53253982248794,4286683.83571285,15.9265574892362
"34",133,5,0,-4.18796098634804,1681159.31001418,2.13004271586736
"35",134,5,0,-2.12444907107244,11550379.3874922,17.2358014543851
"36",135,5,0,-2.13400127969507,1898384.95347713,17.6089008808136
"37",136,5,0,-2.21480375738276,7315336.14435768,16.713818359375
"38",137,5,0,1.76695064247924,0,18.4043566028277
"39",138,5,0,-2.14944703159806,1763442.69716746,13.6721302429835
"40",139,5,0,-2.21245570329154,8449131.51511363,16.3042008280754
"41",140,5,0,0.176530412143914,0,16.6257619460424
"42",141,5,0,-2.23308038936124,3470421.85682898,16.6165877183278
"43",142,5,0,-4.4304320012328,0,1.94747083584468
"44",143,5,0,-2.04862743671475,3403511.14615399,16.5997458457947
"45",144,5,0,-2.30853140980339,6591007.23615913,17.1130827188492
